,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,Driver,TrackStatus,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,Position,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep
57,0 days 01:53:27.894000,77,68.378,58.0,3.0,,,False,HARD,36.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.649000000000001,-2.355,0.9030000000000058,1.338,-0.8569999999999993,-1.238
58,0 days 01:54:35.956000,77,68.062,59.0,3.0,,,False,HARD,37.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.9650000000000034,-2.806,0.5870000000000033,0.87,-0.9630000000000081,-1.395
59,0 days 01:55:44.130000,77,68.174,60.0,3.0,,,False,HARD,38.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.8529999999999944,-2.646,0.6990000000000123,1.036,-0.98599999999999,-1.426
60,0 days 01:56:52.368000,77,68.238,61.0,3.0,,,False,HARD,39.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.7890000000000015,-2.555,0.7630000000000052,1.131,-1.6650000000000063,-2.382
61,0 days 01:58:00.567000,77,68.199,62.0,3.0,,,False,HARD,40.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.828000000000003,-2.61,0.7240000000000038,1.073,-0.7180000000000035,-1.042
62,0 days 01:59:08.590000,77,68.023,63.0,3.0,,,False,HARD,41.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-2.004000000000005,-2.862,0.5480000000000018,0.812,-1.0080000000000098,-1.46
63,0 days 02:00:16.247000,77,67.657,64.0,3.0,,,True,HARD,42.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-2.3700000000000045,-3.384,0.18200000000000216,0.27,-1.6530000000000058,-2.385
64,0 days 02:01:26.293000,77,70.046,65.0,3.0,,,False,HARD,43.0,False,Mercedes,BOT,2,True,1,Austrian Grand Prix,True,C2,2.0,False,0.019000000000005457,0.027,2.571000000000012,3.81,1.25,1.817
65,0 days 02:02:34.493000,77,68.2,66.0,3.0,,,False,HARD,44.0,False,Mercedes,BOT,2,True,1,Austrian Grand Prix,True,C2,2.0,False,-1.8269999999999982,-2.609,0.7250000000000085,1.074,-0.4230000000000018,-0.616
66,0 days 02:03:42.905000,77,68.412,67.0,3.0,,,False,HARD,45.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,1.0,True,-1.6149999999999949,-2.306,0.9370000000000118,1.389,0.0,0.0
67,0 days 00:34:04.085000,16,,1.0,1.0,0 days 00:02:50.137000,,False,SOFT,4.0,False,Ferrari,LEC,1,False,1,Austrian Grand Prix,True,C4,7.0,False,,,,,,
68,0 days 00:35:15.503000,16,71.418,2.0,1.0,,,False,SOFT,5.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,1.3910000000000053,1.986,3.943000000000012,5.844,-0.73599999999999,-1.02
69,0 days 00:36:25.428000,16,69.925,3.0,1.0,,,False,SOFT,6.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,-0.10200000000000387,-0.146,2.450000000000003,3.631,-1.2909999999999968,-1.813
70,0 days 00:37:35.699000,16,70.271,4.0,1.0,,,False,SOFT,7.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.24399999999999977,0.348,2.7960000000000065,4.144,-0.4060000000000059,-0.574
71,0 days 00:38:46.009000,16,70.31,5.0,1.0,,,False,SOFT,8.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.28300000000000125,0.404,2.835000000000008,4.202,-0.2189999999999941,-0.311
72,0 days 00:39:56.296000,16,70.287,6.0,1.0,,,False,SOFT,9.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.2600000000000051,0.371,2.812000000000012,4.167,-0.48699999999999477,-0.688
73,0 days 00:41:06.892000,16,70.596,7.0,1.0,,,False,SOFT,10.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.5690000000000026,0.813,3.1210000000000093,4.625,-0.2469999999999999,-0.349
74,0 days 00:42:17.503000,16,70.611,8.0,1.0,,,False,SOFT,11.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.5840000000000032,0.834,3.13600000000001,4.648,-0.07399999999999807,-0.105
75,0 days 00:49:20.442000,16,70.333,9.0,1.0,,,False,SOFT,12.0,False,Ferrari,LEC,1,False,1,Austrian Grand Prix,True,C4,9.0,False,0.3059999999999974,0.437,2.858000000000004,4.236,-0.3500000000000085,-0.495
76,0 days 00:50:30.750000,16,70.308,10.0,1.0,,,False,SOFT,13.0,False,Ferrari,LEC,1,False,1,Austrian Grand Prix,True,C4,8.0,False,0.2810000000000059,0.401,2.8330000000000126,4.199,-0.5179999999999865,-0.731
77,0 days 00:51:41.028000,16,70.278,11.0,1.0,,,False,SOFT,14.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.2510000000000048,0.358,2.8030000000000115,4.154,-0.5459999999999923,-0.771
78,0 days 00:52:51.166000,16,70.138,12.0,1.0,,,False,SOFT,15.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.1110000000000042,0.159,2.663000000000011,3.947,-0.9549999999999983,-1.343
79,0 days 00:54:01.343000,16,70.177,13.0,1.0,,,False,SOFT,16.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.15000000000000568,0.214,2.7020000000000124,4.004,-0.44999999999998863,-0.637
80,0 days 00:55:11.415000,16,70.072,14.0,1.0,,,False,SOFT,17.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.045000000000001705,0.064,2.5970000000000084,3.849,-0.6599999999999966,-0.933
81,0 days 00:56:21.369000,16,69.954,15.0,1.0,,,False,SOFT,18.0,False,Ferrari,LEC,2,True,1,Austrian Grand Prix,True,C4,7.0,False,-0.0730000000000075,-0.104,2.478999999999999,3.674,-0.8360000000000127,-1.181
82,0 days 00:57:31.550000,16,70.181,16.0,1.0,,,False,SOFT,19.0,False,Ferrari,LEC,2,True,1,Austrian Grand Prix,True,C4,7.0,False,0.15399999999999636,0.22,2.706000000000003,4.01,-0.3889999999999958,-0.551
83,0 days 00:58:41.795000,16,70.245,17.0,1.0,,,False,SOFT,20.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.21800000000000352,0.311,2.7700000000000102,4.105,-0.2839999999999918,-0.403
84,0 days 00:59:52.187000,16,70.392,18.0,1.0,,,False,SOFT,21.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.3649999999999949,0.521,2.9170000000000016,4.323,-0.25200000000000955,-0.357
85,0 days 01:01:02.304000,16,70.117,19.0,1.0,,,False,SOFT,22.0,False,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C4,7.0,True,0.09000000000000341,0.129,2.64200000000001,3.916,-0.4509999999999934,-0.639
86,0 days 01:02:12.503000,16,70.199,20.0,1.0,,,False,SOFT,23.0,False,Ferrari,LEC,2,True,1,Austrian Grand Prix,True,C4,7.0,False,0.17199999999999704,0.246,2.7240000000000038,4.037,-0.43300000000000693,-0.613
87,0 days 01:03:42.309000,16,89.806,21.0,1.0,,0 days 01:03:39.058000,False,SOFT,24.0,False,Ferrari,LEC,24,False,1,Austrian Grand Prix,True,C4,7.0,False,19.778999999999996,28.245,22.331000000000003,33.095,-3.457000000000008,-3.707
88,0 days 01:05:32.426000,16,110.117,22.0,2.0,0 days 01:04:01.812000,,False,HARD,1.0,True,Ferrari,LEC,4,False,1,Austrian Grand Prix,True,C2,7.0,False,40.09,57.249,42.64200000000001,63.197,0.38800000000000523,0.354
89,0 days 01:07:13.477000,16,101.051,23.0,2.0,,,False,HARD,2.0,True,Ferrari,LEC,4,False,1,Austrian Grand Prix,True,C2,7.0,False,31.024,44.303,33.57600000000001,49.761,6.399000000000001,6.761
90,0 days 01:09:08.430000,16,114.953,24.0,2.0,,,False,HARD,3.0,True,Ferrari,LEC,4,False,1,Austrian Grand Prix,True,C2,7.0,False,44.926,64.155,47.47800000000001,70.364,0.902000000000001,0.791
91,0 days 01:10:55.996000,16,107.566,25.0,2.0,,,False,HARD,4.0,True,Ferrari,LEC,4,False,1,Austrian Grand Prix,True,C2,7.0,False,37.539,53.606,40.09100000000001,59.416,1.4009999999999962,1.32
92,0 days 01:12:06.873000,16,70.877,26.0,2.0,,,False,HARD,5.0,True,Ferrari,LEC,2,False,1,Austrian Grand Prix,True,C2,7.0,False,0.8499999999999943,1.214,3.402000000000001,5.042,-0.17100000000000648,-0.241
93,0 days 01:13:16.998000,16,70.125,27.0,2.0,,,False,HARD,6.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,0.09799999999999898,0.14,2.6500000000000057,3.927,-0.07899999999999352,-0.113
94,0 days 01:14:26.594000,16,69.596,28.0,2.0,,,False,HARD,7.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.4309999999999974,-0.615,2.1210000000000093,3.143,-0.48399999999999466,-0.691
95,0 days 01:15:36.132000,16,69.538,29.0,2.0,,,False,HARD,8.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.4890000000000043,-0.698,2.0630000000000024,3.057,-0.07099999999999795,-0.102
96,0 days 01:16:45.377000,16,69.245,30.0,2.0,,,False,HARD,9.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.7819999999999965,-1.117,1.7700000000000102,2.623,-0.7839999999999918,-1.12
97,0 days 01:17:54.856000,16,69.479,31.0,2.0,,,False,HARD,10.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.5480000000000018,-0.783,2.004000000000005,2.97,-0.5439999999999969,-0.777
98,0 days 01:19:04.119000,16,69.263,32.0,2.0,,,False,HARD,11.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.7639999999999958,-1.091,1.788000000000011,2.65,-0.4230000000000018,-0.607
99,0 days 01:20:13.092000,16,68.973,33.0,2.0,,,False,HARD,12.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-1.054000000000002,-1.505,1.4980000000000047,2.22,-0.7019999999999982,-1.008
100,0 days 01:21:22.276000,16,69.184,34.0,2.0,,,False,HARD,13.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.8430000000000035,-1.204,1.7090000000000032,2.533,-0.46399999999999864,-0.666
101,0 days 01:22:31.388000,16,69.112,35.0,2.0,,,False,HARD,14.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.9150000000000063,-1.307,1.6370000000000005,2.426,-0.6240000000000094,-0.895
102,0 days 01:23:40.514000,16,69.126,36.0,2.0,,,False,HARD,15.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.9009999999999962,-1.287,1.6510000000000105,2.447,-0.652000000000001,-0.934
103,0 days 01:24:49.634000,16,69.12,37.0,2.0,,,False,HARD,16.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.9069999999999965,-1.295,1.6450000000000102,2.438,-0.5279999999999916,-0.758
104,0 days 01:25:58.737000,16,69.103,38.0,2.0,,,False,HARD,17.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.9240000000000066,-1.319,1.6280000000000001,2.413,-0.4310000000000116,-0.62
105,0 days 01:27:07.955000,16,69.218,39.0,2.0,,,False,HARD,18.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.8089999999999975,-1.155,1.7430000000000092,2.583,-0.1700000000000017,-0.245
106,0 days 01:28:17.536000,16,69.581,40.0,2.0,,,False,HARD,19.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.44599999999999795,-0.637,2.1060000000000088,3.121,-0.1670000000000016,-0.239
107,0 days 01:29:26.665000,16,69.129,41.0,2.0,,,False,HARD,20.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.8979999999999961,-1.282,1.6540000000000106,2.451,-0.1909999999999883,-0.276
108,0 days 01:30:35.696000,16,69.031,42.0,2.0,,,False,HARD,21.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.9959999999999951,-1.422,1.5560000000000116,2.306,-0.11899999999999977,-0.172
109,0 days 01:31:44.477000,16,68.781,43.0,2.0,,,False,HARD,22.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-1.2459999999999951,-1.779,1.3060000000000116,1.936,-0.44899999999999807,-0.649
110,0 days 01:32:53.630000,16,69.153,44.0,2.0,,,False,HARD,23.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.8739999999999952,-1.248,1.6780000000000115,2.487,-0.1909999999999883,-0.275
111,0 days 01:34:02.715000,16,69.085,45.0,2.0,,,False,HARD,24.0,True,Ferrari,LEC,1,True,1,Austrian Grand Prix,True,C2,7.0,True,-0.9420000000000073,-1.345,1.6099999999999994,2.386,-0.05000000000001137,-0.072
